;
; predicates.csv
;
; This example data file demonstrates the learning of arithmetic
; predicates. An "arithmetic predicate" is an arithmetic expression
; that is true or false; so, for example, x + y > 0  is a predicate.
; These can be joined together using boolean operators.
;
; In this example, the dataset reflects the predicate
; (x > 1.0) AND (y > 0.0)  and so the combo program that should be 
; learned is 
;    and( greater_than_zero( plus(#x -1)) greater_than_zero(#y))
;
; To run, enter: "moses -H it -i predicates.csv -W1 -u pred
;
; XXX this currently fails in MOSES; under construction.
;
x	y	pred
2.0	1.1	1
1.1	1.1	1
0.9	2.0	0
0.8	-0.1	0
1.1	-0.1	0
6.6	-0.8	0
5.8	0.1	1
4.6	0.3	1
3.7	0.9	1
2.2	1.1	1
1.6	1.6	1
1.2	2.8	1
0.7	3.0	0
0.4	6.0	0
0.1	8.0	0
-0.3	11.0	0
-0.6	12.0	0
-2.0	23.0	0
-1.8	4.0	0
-0.1	1.0	0
0.9	0.2	0
1.01	0.1	1
1.3	0.05	1
1.9	0.01	1
2.1	-0.01	0
3.1	-0.1	0
4.1	-0.6	0

